  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
726603 04974 201303150752 ***   0 *** 722 CLR * * *  7.0 ** ** ** ** ** ** ** ** *   32   27 ****** 29.96 1006.5 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150812 ***   0 *** 722 SCT * * *  7.0 ** ** ** ** ** ** ** ** *   32   27 ****** 29.97 1006.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150832 280   5 *** 722 SCT * * *  7.0 ** ** ** ** ** ** ** ** *   32   27 ****** 29.96 1006.5 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150852 280   3 *** 722 CLR * * *  7.0 ** ** ** ** ** ** ** ** *   32   27 ****** 29.96 1006.5 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150912 ***   0 *** 722 CLR * * *  7.0 ** ** ** ** ** ** ** ** *   32   27 ****** 29.95 1006.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150932 ***   0 *** 722 CLR * * *  7.0 ** ** ** ** ** ** ** ** *   32   27 ****** 29.96 1006.5 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150952 290   3 *** 722 CLR * * *  7.0 ** ** ** ** ** ** ** ** *   33   27 ****** 29.96 1006.5 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151012 ***   0 *** 722 SCT * * *  7.0 ** ** ** ** ** ** ** ** *   33   27 ****** 29.96 1006.5 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151032 340   3 ***  80 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   33   28 ****** 29.96 1006.5 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151052 ***   0 ***  80 OVC * * *  7.0 ** ** ** ** ** ** ** ** *   33   28 ****** 29.95 1006.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151112 020   3 ***  65 OVC * * *  7.0 ** ** ** ** 41 40 ** ** *   33   28 ****** 29.94 1005.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151132 020   5 ***  65 OVC * * *  5.0 ** ** ** ** 41 40 ** ** *   33   28 ****** 29.94 1005.9 *** *** ***** ***** ***** ***** ** 
